JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 V-K4 s5 C1-K1 s6 C1-K2 s7 C1-K3 s8 C1-K4 s9 C2-K1 s10 C2-K2 s11 C2-K3 s12 C2-K4 s13 C3-K1 s14 C3-K2 s15 C3-K3 s16 C3-K4 s17 C4-K1 s18 C4-K2 s19 C4-K3 s20 C4-K4 s21 C5-K1 s22 C5-K2 s23 C5-K3 s24 C5-K4 s25 K1-K2 s26 K1-K3 s27 K1-K4 s28 K2-K3 s29 K2-K4 s30 K3-K4 s31
Aperture: 6, Filter: L, JD: geocentric
2459492.2935532 0.01821 0.00359 -0.36830 0.00507 0.17043 0.00443 0.01097 0.00458 -0.85033 0.00590 -0.59711 0.00486 -0.05838 0.00418 -0.21784 0.00434 -1.07915 0.00572 -0.38596 0.00505 0.15277 0.00441 -0.00669 0.00456 -0.86800 0.00589 -0.06368 0.00541 0.47506 0.00481 0.31560 0.00495 -0.54571 0.00619 0.35571 0.00604 0.89444 0.00551 0.73498 0.00564 -0.12633 0.00675 -0.85450 0.00467 -0.31577 0.00396 -0.47523 0.00413 -1.33654 0.00556 0.53873 0.00491 0.37927 0.00505 -0.48204 0.00628 -0.15946 0.00441 -1.02077 0.00577 -0.86131 0.00589
2459492.2943171 0.01754 0.00358 -0.36303 0.00504 0.17391 0.00442 0.01219 0.00457 -0.83445 0.00584 -0.58843 0.00484 -0.05148 0.00418 -0.21320 0.00434 -1.05985 0.00567 -0.38442 0.00502 0.15253 0.00439 -0.00919 0.00455 -0.85584 0.00582 -0.05913 0.00538 0.47782 0.00480 0.31610 0.00494 -0.53055 0.00614 0.36403 0.00601 0.90097 0.00550 0.73926 0.00562 -0.10739 0.00670 -0.84799 0.00464 -0.31104 0.00395 -0.47276 0.00413 -1.31941 0.00550 0.53695 0.00489 0.37523 0.00503 -0.47142 0.00621 -0.16172 0.00440 -1.00837 0.00571 -0.84665 0.00583
2459492.2950694 0.01981 0.00358 -0.36456 0.00504 0.17041 0.00441 0.01119 0.00457 -0.84191 0.00584 -0.59161 0.00483 -0.05664 0.00417 -0.21586 0.00434 -1.06896 0.00566 -0.38942 0.00502 0.14555 0.00439 -0.01367 0.00454 -0.86677 0.00582 -0.06594 0.00537 0.46903 0.00479 0.30980 0.00493 -0.54330 0.00613 0.35911 0.00598 0.89408 0.00546 0.73486 0.00559 -0.11824 0.00667 -0.84964 0.00464 -0.31467 0.00395 -0.47389 0.00413 -1.32699 0.00550 0.53497 0.00489 0.37575 0.00503 -0.47735 0.00621 -0.15922 0.00440 -1.01232 0.00571 -0.85310 0.00583
2459492.2958333 0.02026 0.00358 -0.36938 0.00504 0.17052 0.00441 0.01132 0.00457 -0.83609 0.00583 -0.60227 0.00483 -0.06238 0.00417 -0.22157 0.00434 -1.06898 0.00565 -0.39072 0.00502 0.14917 0.00439 -0.01002 0.00455 -0.85743 0.00581 -0.06540 0.00538 0.47449 0.00479 0.31529 0.00494 -0.53211 0.00612 0.35775 0.00599 0.89765 0.00547 0.73845 0.00560 -0.10895 0.00666 -0.85736 0.00464 -0.31746 0.00395 -0.47666 0.00413 -1.32407 0.00549 0.53990 0.00489 0.38070 0.00503 -0.46671 0.00620 -0.15920 0.00440 -1.00660 0.00570 -0.84741 0.00582
2459492.2965856 0.02019 0.00358 -0.36057 0.00503 0.17325 0.00441 0.00670 0.00457 -0.83674 0.00582 -0.59231 0.00482 -0.05849 0.00418 -0.22505 0.00434 -1.06848 0.00564 -0.38476 0.00501 0.14905 0.00439 -0.01750 0.00455 -0.86094 0.00580 -0.05904 0.00537 0.47477 0.00479 0.30822 0.00494 -0.53522 0.00611 0.36551 0.00598 0.89933 0.00547 0.73278 0.00560 -0.11066 0.00665 -0.84582 0.00463 -0.31200 0.00396 -0.47855 0.00413 -1.32199 0.00548 0.53382 0.00488 0.36727 0.00502 -0.47617 0.00617 -0.16655 0.00441 -1.00999 0.00568 -0.84344 0.00581
2459492.2973611 0.01837 0.00357 -0.36706 0.00502 0.17553 0.00440 0.00868 0.00456 -0.85139 0.00582 -0.59244 0.00482 -0.04984 0.00416 -0.21669 0.00433 -1.07676 0.00565 -0.39043 0.00500 0.15217 0.00437 -0.01469 0.00453 -0.87475 0.00580 -0.06392 0.00535 0.47868 0.00477 0.31183 0.00492 -0.54824 0.00611 0.35632 0.00596 0.89891 0.00544 0.73206 0.00557 -0.12800 0.00665 -0.85185 0.00463 -0.30925 0.00394 -0.47611 0.00412 -1.33617 0.00549 0.54260 0.00487 0.37574 0.00502 -0.48432 0.00619 -0.16685 0.00439 -1.02692 0.00569 -0.86006 0.00582
2459492.2981250 0.01873 0.00357 -0.36830 0.00502 0.16955 0.00440 0.00582 0.00456 -0.84130 0.00580 -0.59662 0.00482 -0.05877 0.00417 -0.22250 0.00433 -1.06961 0.00563 -0.38965 0.00500 0.14820 0.00437 -0.01552 0.00454 -0.86264 0.00579 -0.06618 0.00535 0.47167 0.00477 0.30794 0.00492 -0.53918 0.00609 0.35705 0.00596 0.89491 0.00544 0.73118 0.00557 -0.11594 0.00663 -0.85342 0.00463 -0.31557 0.00395 -0.47930 0.00412 -1.32642 0.00547 0.53785 0.00487 0.37412 0.00502 -0.47300 0.00617 -0.16373 0.00439 -1.01085 0.00568 -0.84712 0.00580
2459492.2988773 0.02146 0.00358 -0.36126 0.00503 0.17664 0.00441 0.01594 0.00456 -0.84130 0.00582 -0.59084 0.00482 -0.05293 0.00417 -0.21363 0.00433 -1.07087 0.00564 -0.38552 0.00500 0.15239 0.00438 -0.00831 0.00454 -0.86555 0.00579 -0.06010 0.00535 0.47780 0.00478 0.31710 0.00492 -0.54014 0.00610 0.36852 0.00597 0.90643 0.00546 0.74573 0.00558 -0.11151 0.00665 -0.85333 0.00463 -0.31543 0.00395 -0.47613 0.00412 -1.33336 0.00547 0.53791 0.00487 0.37721 0.00501 -0.48003 0.00617 -0.16070 0.00439 -1.01794 0.00568 -0.85724 0.00580
2459492.2996412 0.01614 0.00357 -0.36611 0.00502 0.16843 0.00441 0.00291 0.00457 -0.84130 0.00580 -0.58819 0.00482 -0.05365 0.00418 -0.21916 0.00435 -1.06338 0.00563 -0.38070 0.00501 0.15384 0.00439 -0.01168 0.00455 -0.85590 0.00579 -0.06775 0.00535 0.46679 0.00478 0.30127 0.00493 -0.54295 0.00609 0.36443 0.00597 0.89897 0.00546 0.73346 0.00559 -0.11076 0.00664 -0.85198 0.00463 -0.31745 0.00395 -0.48296 0.00413 -1.32718 0.00547 0.53454 0.00488 0.36902 0.00502 -0.47520 0.00617 -0.16551 0.00441 -1.00973 0.00568 -0.84422 0.00580
