JD,V-C,s1
2459492.2935532,0.01821,0.00359
2459492.2943171,0.01754,0.00358
2459492.2950694,0.01981,0.00358
2459492.2958333,0.02026,0.00358
2459492.2965856,0.02019,0.00358
2459492.2973611,0.01837,0.00357
2459492.2981250,0.01873,0.00357
2459492.2988773,0.02146,0.00358
2459492.2996412,0.01614,0.00357
2459492.3004051,0.01506,0.00358
2459492.3011574,0.02853,0.00358
2459492.3019213,0.02190,0.00357
2459492.3026852,0.02101,0.00357
2459492.3034491,0.01628,0.00357
2459492.3042130,0.02125,0.00358
2459492.3049653,0.01962,0.00358
2459492.3057292,0.01830,0.00358
2459492.3064815,0.01574,0.00358
2459492.3072569,0.02263,0.00358
2459492.3080093,0.01760,0.00358
2459492.3087847,0.01871,0.00358
2459492.3095370,0.02049,0.00359
2459492.3103009,0.01888,0.00359
2459492.3110648,0.02386,0.00360
2459492.3118287,0.02169,0.00360
2459492.3125926,0.02130,0.00361
2459492.3133565,0.02197,0.00362
2459492.3148032,0.02079,0.00353
2459492.3155671,0.02168,0.00353
2459492.3163194,0.02909,0.00354
2459492.3170833,0.01728,0.00353
2459492.3178472,0.01722,0.00353
2459492.3186111,0.01859,0.00352
2459492.3193750,0.01992,0.00353
2459492.3201389,0.01503,0.00352
2459492.3208912,0.02277,0.00353
2459492.3216551,0.02192,0.00354
2459492.3224074,0.02376,0.00354
2459492.3231829,0.02339,0.00354
2459492.3239352,0.02501,0.00354
2459492.3246991,0.02394,0.00354
2459492.3254630,0.01823,0.00353
2459492.3262153,0.01559,0.00354
2459492.3269792,0.02093,0.00354
2459492.3277431,0.02209,0.00355
2459492.3285069,0.01818,0.00354
2459492.3292708,0.02142,0.00354
2459492.3300231,0.02412,0.00354
2459492.3307870,0.02147,0.00354
2459492.3315509,0.02455,0.00354
2459492.3323032,0.01502,0.00354
2459492.3330671,0.01670,0.00353
2459492.3338310,0.02572,0.00355
2459492.3345949,0.02849,0.00355
2459492.3360301,0.02278,0.00353
2459492.3367940,0.03040,0.00354
2459492.3375463,0.03309,0.00354
2459492.3382986,0.03631,0.00355
2459492.3390625,0.03091,0.00354
2459492.3398148,0.03347,0.00355
2459492.3405787,0.03555,0.00355
2459492.3413426,0.03774,0.00355
2459492.3421065,0.03258,0.00355
2459492.3428588,0.03470,0.00355
2459492.3436227,0.04181,0.00356
2459492.3443866,0.03309,0.00355
2459492.3451389,0.03828,0.00356
2459492.3459144,0.03789,0.00355
2459492.3466667,0.04494,0.00356
2459492.3474306,0.04043,0.00356
2459492.3481829,0.03685,0.00356
2459492.3489468,0.04396,0.00357
2459492.3497106,0.04651,0.00357
2459492.3504745,0.03729,0.00356
2459492.3512384,0.04547,0.00357
2459492.3519907,0.04486,0.00357
2459492.3527546,0.04233,0.00357
2459492.3535185,0.04144,0.00358
2459492.3542708,0.04410,0.00358
2459492.3550347,0.04822,0.00358
2459492.3558102,0.04203,0.00358
2459492.3572569,0.04768,0.00358
2459492.3580093,0.04960,0.00358
2459492.3587847,0.04162,0.00357
2459492.3595370,0.04440,0.00357
2459492.3603009,0.04393,0.00357
2459492.3610648,0.04588,0.00358
2459492.3618171,0.04768,0.00357
2459492.3625810,0.04372,0.00358
2459492.3633565,0.04409,0.00357
2459492.3641088,0.04383,0.00357
2459492.3648611,0.04820,0.00357
2459492.3656250,0.04108,0.00357
2459492.3663889,0.04462,0.00358
2459492.3671528,0.04766,0.00358
2459492.3679051,0.04372,0.00357
2459492.3686806,0.04135,0.00357
2459492.3694329,0.04703,0.00358
2459492.3701968,0.04967,0.00358
2459492.3709606,0.04856,0.00358
2459492.3717245,0.04310,0.00357
2459492.3724884,0.04957,0.00359
2459492.3732407,0.04975,0.00361
2459492.3740162,0.04418,0.00363
2459492.3747801,0.04551,0.00363
2459492.3755324,0.05075,0.00363
2459492.3763079,0.04745,0.00361
2459492.3770486,0.04841,0.00361
2459492.3784954,0.04020,0.00359
2459492.3792477,0.04832,0.00360
2459492.3800116,0.04617,0.00360
2459492.3807755,0.05140,0.00361
2459492.3815394,0.03862,0.00359
2459492.3823032,0.04894,0.00360
2459492.3830556,0.04134,0.00360
2459492.3838194,0.04088,0.00359
2459492.3845949,0.04484,0.00360
2459492.3861111,0.04228,0.00360
2459492.3868750,0.04503,0.00360
2459492.3876505,0.04795,0.00360
2459492.3884028,0.04643,0.00360
2459492.3891667,0.03896,0.00359
2459492.3899190,0.04886,0.00361
2459492.3906829,0.04359,0.00361
2459492.3914468,0.04904,0.00361
2459492.3921991,0.04404,0.00361
2459492.3929745,0.04540,0.00361
2459492.3937384,0.04619,0.00362
2459492.3945023,0.04756,0.00361
2459492.3952546,0.04694,0.00361
2459492.3960301,0.03789,0.00361
2459492.3967940,0.04236,0.00361
2459492.3975579,0.04600,0.00361
2459492.3983218,0.04072,0.00361
2459492.3997569,0.04452,0.00362
2459492.4005208,0.04162,0.00362
2459492.4012731,0.04036,0.00362
2459492.4020370,0.04288,0.00361
2459492.4028009,0.03660,0.00361
2459492.4035648,0.04233,0.00362
2459492.4043171,0.04282,0.00362
2459492.4050810,0.04197,0.00362
2459492.4058449,0.04185,0.00362
2459492.4066088,0.04209,0.00362
2459492.4073611,0.03902,0.00362
2459492.4081250,0.04619,0.00363
2459492.4088889,0.04347,0.00363
2459492.4096412,0.04410,0.00363
2459492.4104051,0.04155,0.00363
2459492.4111690,0.04202,0.00363
2459492.4119329,0.03586,0.00363
2459492.4126852,0.04203,0.00364
2459492.4134491,0.04240,0.00364
2459492.4142014,0.03994,0.00363
2459492.4149653,0.04446,0.00363
2459492.4157292,0.03687,0.00363
2459492.4164815,0.03955,0.00363
2459492.4172454,0.03520,0.00363
2459492.4179977,0.03911,0.00364
2459492.4187500,0.03660,0.00364
2459492.4195255,0.04091,0.00365
2459492.4209722,0.03468,0.00365
2459492.4217361,0.03425,0.00366
2459492.4224884,0.03109,0.00364
2459492.4232523,0.02701,0.00365
2459492.4240046,0.02888,0.00364
2459492.4247685,0.03246,0.00365
2459492.4255324,0.02580,0.00364
2459492.4262847,0.02290,0.00364
2459492.4270602,0.02192,0.00364
2459492.4278241,0.02051,0.00363
2459492.4285880,0.02347,0.00364
2459492.4293403,0.01803,0.00364
2459492.4301042,0.01293,0.00363
2459492.4308681,0.01559,0.00364
2459492.4316204,0.01723,0.00364
2459492.4323843,0.01665,0.00364
2459492.4331366,0.01558,0.00364
2459492.4339120,0.02194,0.00365
2459492.4346759,0.02259,0.00365
2459492.4354282,0.01626,0.00365
2459492.4361921,0.01906,0.00365
2459492.4369560,0.01661,0.00365
2459492.4377199,0.02305,0.00366
2459492.4384722,0.01449,0.00365
2459492.4392477,0.02136,0.00366
2459492.4400000,0.02099,0.00366
2459492.4407639,0.01670,0.00365
2459492.4421991,0.01969,0.00367
2459492.4429630,0.01764,0.00367
2459492.4437269,0.01198,0.00367
2459492.4444792,0.01610,0.00366
2459492.4452431,0.02649,0.00368
2459492.4459954,0.02092,0.00368
2459492.4467708,0.02145,0.00368
2459492.4475231,0.02330,0.00369
2459492.4482870,0.02442,0.00369
2459492.4490625,0.01846,0.00368
2459492.4498148,0.01557,0.00368
2459492.4505787,0.02152,0.00369
2459492.4513426,0.02135,0.00370
2459492.4521065,0.02102,0.00371
2459492.4528704,0.02203,0.00370
2459492.4536343,0.02019,0.00370
2459492.4543866,0.02485,0.00372
2459492.4551505,0.02300,0.00371
2459492.4559259,0.02195,0.00371
2459492.4566782,0.01514,0.00371
2459492.4574421,0.01862,0.00372
2459492.4582060,0.02014,0.00372
2459492.4589815,0.02151,0.00373
2459492.4597569,0.02186,0.00373
2459492.4605208,0.02182,0.00373
2459492.4612847,0.01559,0.00372
2459492.4620370,0.02091,0.00374
2459492.4634838,0.01171,0.00373
2459492.4642477,0.02374,0.00374
2459492.4650116,0.01517,0.00374
2459492.4657639,0.02751,0.00376
2459492.4665278,0.02436,0.00375
2459492.4672917,0.01992,0.00375
2459492.4680556,0.01886,0.00375
2459492.4688079,0.02512,0.00376
2459492.4695718,0.01841,0.00376
2459492.4703241,0.02022,0.00377
2459492.4710995,0.02261,0.00377
2459492.4718634,0.02322,0.00377
2459492.4726157,0.03346,0.00378
2459492.4733912,0.02775,0.00378
2459492.4741551,0.02607,0.00379
2459492.4749074,0.02892,0.00380
2459492.4756713,0.02221,0.00379
2459492.4764236,0.02488,0.00379
2459492.4771875,0.03024,0.00381
2459492.4779398,0.02281,0.00380
2459492.4787153,0.02797,0.00381
2459492.4794676,0.01757,0.00380
2459492.4802315,0.01532,0.00380
2459492.4809838,0.02548,0.00382
2459492.4817477,0.02151,0.00381
2459492.4825116,0.02482,0.00382
2459492.4832755,0.02386,0.00382
2459492.4847106,0.01873,0.00381
2459492.4854745,0.02430,0.00383
2459492.4862384,0.02279,0.00383
2459492.4869907,0.01933,0.00383
2459492.4877431,0.02213,0.00384
2459492.4885069,0.02520,0.00385
2459492.4892708,0.02329,0.00385
