JD,V-C,s1
2459543.3105556,0.54607,0.00957
2459543.3113079,0.54555,0.00962
2459543.3120718,0.54299,0.00961
2459543.3128241,0.54166,0.00976
2459543.3135880,0.53852,0.00974
2459543.3143519,0.56708,0.00987
2459543.3151157,0.55687,0.00961
2459543.3158796,0.55076,0.01010
2459543.3166319,0.55389,0.00962
2459543.3173958,0.55864,0.00951
2459543.3181597,0.56856,0.00954
2459543.3189236,0.56597,0.00974
2459543.3196759,0.57299,0.01018
2459543.3204398,0.56089,0.00989
2459543.3211921,0.57139,0.01003
2459543.3219560,0.57354,0.01186
2459543.3227199,0.56298,0.01298
2459543.3234838,0.55988,0.01186
2459543.3242361,0.56488,0.00969
2459543.3250000,0.58363,0.00984
2459543.3257523,0.57159,0.00956
2459543.3265162,0.58070,0.00956
2459543.3272801,0.57120,0.00939
2459543.3280440,0.58115,0.00940
2459543.3287963,0.59354,0.00947
2459543.3295602,0.58396,0.00940
2459543.3303125,0.58099,0.00942
2459543.3317593,0.58776,0.00942
2459543.3325231,0.59890,0.00951
2459543.3332755,0.59542,0.00953
2459543.3340394,0.58561,0.00945
2459543.3348032,0.58466,0.00939
2459543.3355787,0.60479,0.00949
2459543.3363310,0.59464,0.00949
2459543.3370949,0.59774,0.00945
2459543.3378588,0.59520,0.00950
2459543.3386227,0.60066,0.00940
2459543.3393750,0.60177,0.00942
2459543.3401505,0.59600,0.00944
2459543.3409028,0.60307,0.00935
2459543.3416667,0.59911,0.00938
2459543.3424306,0.60813,0.00941
2459543.3431944,0.60453,0.00943
2459543.3439468,0.60612,0.00939
2459543.3447222,0.61084,0.00941
2459543.3454861,0.59592,0.00938
2459543.3462500,0.59768,0.00938
2459543.3470023,0.60968,0.00939
2459543.3477662,0.60239,0.00936
2459543.3485301,0.60849,0.00938
2459543.3492940,0.59496,0.00934
2459543.3500463,0.61555,0.00942
2459543.3508102,0.61404,0.00948
2459543.3515741,0.60614,0.00943
2459543.3530208,0.59590,0.00940
2459543.3537963,0.60393,0.00943
2459543.3545486,0.61382,0.00943
2459543.3553125,0.60079,0.00935
2459543.3560764,0.61197,0.00945
2459543.3568519,0.59697,0.00943
2459543.3576042,0.60614,0.00947
2459543.3583681,0.59316,0.00937
2459543.3591319,0.60430,0.00947
2459543.3598958,0.59831,0.00943
2459543.3606597,0.61322,0.00945
2459543.3614236,0.59257,0.00936
2459543.3621759,0.60010,0.00944
2459543.3629398,0.59170,0.00941
2459543.3637153,0.60117,0.00945
2459543.3644907,0.61118,0.00956
2459543.3652546,0.59986,0.00953
2459543.3660185,0.58523,0.00940
2459543.3667708,0.59723,0.00945
2459543.3675347,0.58222,0.00946
2459543.3682986,0.58781,0.00946
2459543.3690509,0.58097,0.00938
2459543.3698264,0.59384,0.00943
2459543.3705903,0.57362,0.00932
2459543.3713542,0.58560,0.00945
2459543.3721181,0.58437,0.00972
2459543.3728704,0.58132,0.00952
2459543.3743171,0.57283,0.00943
2459543.3750810,0.57621,0.00939
2459543.3758449,0.57730,0.00931
2459543.3766088,0.57434,0.00923
2459543.3773843,0.55936,0.00925
2459543.3781366,0.57248,0.00923
2459543.3789005,0.56659,0.00916
2459543.3796528,0.57486,0.00920
2459543.3804282,0.55022,0.00909
2459543.3811921,0.56654,0.00915
2459543.3819560,0.56583,0.00916
2459543.3827199,0.55751,0.00914
2459543.3834838,0.56362,0.00920
2459543.3842477,0.55606,0.00919
2459543.3850116,0.56115,0.00918
2459543.3857755,0.55538,0.00918
2459543.3865278,0.55279,0.00923
2459543.3873032,0.54129,0.00916
2459543.3880671,0.54158,0.00915
2459543.3888194,0.53750,0.00909
2459543.3895833,0.54675,0.00914
2459543.3903472,0.54428,0.00909
2459543.3911111,0.52871,0.00900
2459543.3918634,0.53289,0.00901
2459543.3926273,0.53778,0.00905
2459543.3933912,0.53183,0.00906
2459543.3941551,0.52146,0.00905
2459543.3956134,0.52699,0.00904
2459543.3963657,0.52294,0.00906
2459543.3971412,0.51311,0.00907
2459543.3978935,0.52676,0.00916
2459543.3986574,0.51774,0.00914
2459543.3994097,0.51916,0.00920
2459543.4001736,0.51315,0.00914
2459543.4009375,0.49863,0.00907
2459543.4016898,0.51060,0.00912
2459543.4024537,0.51319,0.00916
2459543.4032060,0.50698,0.00910
2459543.4039699,0.50588,0.00908
2459543.4047222,0.50182,0.00904
2459543.4054861,0.50010,0.00908
2459543.4062384,0.50322,0.00912
2459543.4070023,0.48634,0.00905
2459543.4077662,0.50662,0.00914
2459543.4085301,0.49087,0.00907
2459543.4092940,0.49903,0.00908
2459543.4100579,0.49450,0.00904
2459543.4108102,0.49208,0.00903
2459543.4115741,0.49102,0.00899
2459543.4123380,0.48338,0.00899
2459543.4131019,0.48747,0.00899
2459543.4138542,0.47902,0.00904
2459543.4146181,0.47821,0.00895
2459543.4153935,0.48355,0.00894
2459543.4168403,0.47693,0.00889
2459543.4176042,0.47568,0.00888
2459543.4183681,0.47645,0.00893
2459543.4191204,0.47779,0.00892
2459543.4198843,0.47079,0.00888
2459543.4206481,0.47393,0.00892
2459543.4214120,0.47273,0.00896
2459543.4221644,0.47729,0.00894
2459543.4229282,0.46927,0.00892
2459543.4236921,0.47806,0.00901
