JD V-C s1 V-K1 s2 V-K2 s3 V-K3 s4 C1-K1 s5 C1-K2 s6 C1-K3 s7 C2-K1 s8 C2-K2 s9 C2-K3 s10 C3-K1 s11 C3-K2 s12 C3-K3 s13 K1-K2 s14 K1-K3 s15 K2-K3 s16
Aperture: 6, Filter: L, JD: geocentric
2459543.3105556 0.54607 0.00957 1.15335 0.00989 0.69797 0.01055 0.08507 0.01195 1.26221 0.01028 0.80683 0.01091 0.19394 0.01228 0.96751 0.00922 0.51213 0.00992 -0.10076 0.01141 0.00883 0.00693 -0.44655 0.00784 -1.05944 0.00965 -0.45538 0.00781 -1.06827 0.00963 -0.61289 0.01030
2459543.3113079 0.54555 0.00962 1.15266 0.00994 0.70172 0.01060 0.07953 0.01201 1.25092 0.01035 0.79997 0.01097 0.17779 0.01235 0.96706 0.00929 0.51612 0.00999 -0.10607 0.01148 0.01232 0.00698 -0.43863 0.00788 -1.06081 0.00970 -0.45095 0.00786 -1.07313 0.00968 -0.62218 0.01035
2459543.3120718 0.54299 0.00961 1.14495 0.00994 0.70298 0.01057 0.09324 0.01196 1.24816 0.01035 0.80620 0.01096 0.19645 0.01230 0.95585 0.00924 0.51388 0.00991 -0.09586 0.01139 0.00891 0.00698 -0.43305 0.00784 -1.04280 0.00964 -0.44197 0.00782 -1.05171 0.00962 -0.60974 0.01026
2459543.3128241 0.54166 0.00976 1.15052 0.01008 0.69159 0.01076 0.07953 0.01218 1.26630 0.01053 0.80737 0.01118 0.19531 0.01255 0.95705 0.00939 0.49812 0.01010 -0.11394 0.01161 0.01465 0.00707 -0.44428 0.00800 -1.05634 0.00982 -0.45893 0.00797 -1.07099 0.00980 -0.61206 0.01049
2459543.3135880 0.53852 0.00974 1.14682 0.01006 0.68694 0.01073 0.08150 0.01215 1.24614 0.01047 0.78625 0.01111 0.18081 0.01249 0.96550 0.00942 0.50561 0.01013 -0.09982 0.01162 0.01657 0.00708 -0.44332 0.00800 -1.04876 0.00982 -0.45989 0.00796 -1.06533 0.00979 -0.60544 0.01048
2459543.3143519 0.56708 0.00987 1.14324 0.01023 0.71957 0.01084 0.10380 0.01228 1.21805 0.01052 0.79438 0.01111 0.17861 0.01252 0.93055 0.00943 0.50688 0.01009 -0.10888 0.01162 -0.01571 0.00714 -0.43938 0.00799 -1.05514 0.00986 -0.42367 0.00801 -1.03943 0.00987 -0.61577 0.01050
2459543.3151157 0.55687 0.00961 1.17784 0.00992 0.70641 0.01057 0.09492 0.01198 1.26334 0.01026 0.79191 0.01090 0.18041 0.01227 0.97773 0.00918 0.50630 0.00988 -0.10519 0.01138 0.02797 0.00691 -0.44346 0.00782 -1.05495 0.00964 -0.47143 0.00778 -1.08293 0.00960 -0.61150 0.01028
2459543.3158796 0.55076 0.01010 1.15535 0.01043 0.71022 0.01108 0.10091 0.01254 1.25249 0.01079 0.80736 0.01142 0.19805 0.01284 0.97061 0.00969 0.52548 0.01039 -0.08383 0.01193 0.00598 0.00727 -0.43915 0.00818 -1.04846 0.01006 -0.44513 0.00815 -1.05444 0.01005 -0.60931 0.01072
2459543.3166319 0.55389 0.00962 1.15580 0.00994 0.69208 0.01059 0.08767 0.01198 1.25632 0.01034 0.79259 0.01097 0.18818 0.01232 0.95378 0.00919 0.49006 0.00989 -0.11435 0.01137 0.00711 0.00694 -0.45661 0.00784 -1.06102 0.00964 -0.46372 0.00783 -1.06813 0.00963 -0.60441 0.01030
2459543.3173958 0.55864 0.00951 1.16798 0.00983 0.71665 0.01045 0.09831 0.01185 1.25687 0.01018 0.80554 0.01078 0.18720 0.01214 0.97220 0.00916 0.52087 0.00982 -0.09747 0.01130 0.01215 0.00687 -0.43918 0.00773 -1.05752 0.00954 -0.45133 0.00771 -1.06966 0.00952 -0.61833 0.01016
2459543.3181597 0.56856 0.00954 1.17125 0.00986 0.71213 0.01050 0.10816 0.01184 1.25473 0.01023 0.79561 0.01085 0.19163 0.01215 0.95277 0.00912 0.49365 0.00981 -0.11033 0.01123 0.00940 0.00688 -0.44972 0.00777 -1.05370 0.00951 -0.45912 0.00775 -1.06310 0.00949 -0.60398 0.01016
2459543.3189236 0.56597 0.00974 1.17214 0.01006 0.71794 0.01070 0.10904 0.01209 1.25810 0.01038 0.80389 0.01100 0.19499 0.01236 0.96311 0.00930 0.50891 0.00999 -0.09999 0.01147 0.01005 0.00698 -0.44415 0.00788 -1.05306 0.00969 -0.45420 0.00786 -1.06311 0.00967 -0.60891 0.01034
2459543.3196759 0.57299 0.01018 1.17694 0.01050 0.73489 0.01115 0.13317 0.01255 1.25399 0.01079 0.81195 0.01142 0.21022 0.01279 0.96305 0.00967 0.52100 0.01037 -0.08072 0.01186 0.00752 0.00725 -0.43453 0.00816 -1.03625 0.00998 -0.44205 0.00813 -1.04377 0.00996 -0.60173 0.01064
2459543.3204398 0.56089 0.00989 1.16515 0.01021 0.70197 0.01088 0.09697 0.01229 1.24737 0.01051 0.78420 0.01117 0.17920 0.01254 0.96113 0.00944 0.49796 0.01017 -0.10704 0.01166 0.01097 0.00709 -0.45220 0.00803 -1.05721 0.00985 -0.46317 0.00800 -1.06817 0.00983 -0.60500 0.01052
2459543.3211921 0.57139 0.01003 1.17992 0.01035 0.70813 0.01103 0.11200 0.01245 1.26084 0.01067 0.78906 0.01134 0.19293 0.01272 0.96036 0.00952 0.48858 0.01026 -0.10755 0.01177 0.01441 0.00716 -0.45737 0.00812 -1.05350 0.00996 -0.47178 0.00809 -1.06791 0.00993 -0.59613 0.01064
2459543.3219560 0.57354 0.01186 1.17991 0.01221 0.71717 0.01302 0.10457 0.01470 1.25292 0.01257 0.79018 0.01336 0.17758 0.01501 0.96804 0.01124 0.50529 0.01212 -0.10730 0.01392 0.01000 0.00836 -0.45275 0.00950 -1.06535 0.01171 -0.46275 0.00946 -1.07535 0.01168 -0.61260 0.01252
2459543.3227199 0.56298 0.01298 1.16770 0.01336 0.71231 0.01423 0.11534 0.01612 1.24186 0.01370 0.78646 0.01455 0.18949 0.01640 0.94695 0.01222 0.49155 0.01317 -0.10542 0.01519 0.01954 0.00914 -0.43586 0.01037 -1.03283 0.01284 -0.45540 0.01032 -1.05237 0.01279 -0.59697 0.01370
